school_name,Latitude,Longitude
High School for Service & Learning at Erasmus,40.649787,-73.95855
"Science, Technology and Research Early College High School at Erasmus (STAR)",40.649787,-73.95855
High School for Public Service: Heroes of Tomorrow,40.658893,-73.942458
Brooklyn Academy of Science and the Environment (BASE),40.670349,-73.961695
Brooklyn School for Music & Theatre,40.670349,-73.961695
Medgar Evers College Preparatory School,40.667195,-73.951167
Clara Barton High School,40.669567,-73.961962
Aspirations Diploma Plus High School,40.6701,-73.954972
Brooklyn Institute for Liberal Arts (BILA),40.658893,-73.942458
Academy for Health Careers,40.675612,-73.938843
It Takes a Village Academy,40.648657,-73.922171
Brooklyn Community High School for Excellence and Equity,40.633285,-73.916735
Brooklyn Theatre Arts High School,40.633285,-73.916735
Kurt Hahn Expeditionary Learning School,40.648657,-73.922171
Victory Collegiate High School,40.633285,-73.916735
High School for Innovation in Advertising and Media,40.641474,-73.898254
Cultural Academy for the Arts and Sciences,40.648657,-73.922171
High School for Medical Professions,40.641474,-73.898254
Olympus Academy,40.645685,-73.8989
Academy for Conservation and the Environment,40.633285,-73.916735
Urban Action Academy,40.641474,-73.898254
Academy for Young Writers,40.657434,-73.874734
East New York Family Academy,40.674135,-73.89643
Spring Creek Community School,40.657434,-73.874734
FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,40.667456,-73.894747
High School for Civil Rights,40.667456,-73.894747
Performing Arts and Technology High School,40.667456,-73.894747
World Academy for Total Community Health High School (WATCH),40.667456,-73.894747
Multicultural High School,40.691146,-73.868328
Transit Tech Career and Technical Education High School,40.678276,-73.87596
Academy of Innovative Technology,40.691146,-73.868328
Brooklyn Lab School,40.691146,-73.868328
Cypress Hills Collegiate Preparatory School,40.691146,-73.868328
W. H. Maxwell Career and Technical Education High School,40.674135,-73.89643
School for Classics High School,40.670724,-73.874208
"Urban Assembly School for Collaborative Healthcare, The",40.691146,-73.868328
The East New York Arts and Civics High School (T.E.A.C.H.),40.66011,-73.885387
New Utrecht High School,40.613262,-74.003404
High School of Telecommunication Arts and Technology,40.637282,-74.023849
Fort Hamilton High School,40.627898,-74.039985
Franklin Delano Roosevelt High School,40.620446,-73.981795
Urban Assembly School for Leadership and Empowerment,40.634875,-73.981528
International High School at Lafayette,40.594291,-73.98577
