name,Latitude,Longitude
I.S. 5 - The Walter Crowley Intermediate School,40.737718,-73.887429
Mark Twain I.S. 239 for the Gifted & Talented,40.578188,-73.99203
I.S. 281 Joseph B Cavallaro,40.595341,-73.993457
P.S. 288 The Shirley Tanyhill,40.574411,-73.99194
I.S. 303 Herbert S. Eisenberg,40.5825,-73.973122
Kingsborough Early College School,40.594291,-73.98577
Brooklyn Studio Secondary School,40.604879,-73.994404
J.H.S. 014 Shell Bank,40.593521,-73.937672
J.H.S. 078 Roy H. Mann,40.621224,-73.91287
P.S. 109,40.636455,-73.933582
P.S. 206 Joseph F Lamb,40.597369,-73.948946
P.S. 207 Elizabeth G. Leary,40.613353,-73.930129
W.A. Cunningham I.S. 234,40.60422,-73.955485
Andries Hudde,40.623561,-73.946279
J.H.S. 278 Marine Park,40.60665,-73.939176
I. S. 381,40.623561,-73.946279
M.S. 890,40.644469,-73.971032
P.S. 041 Francis White,40.660306,-73.907355
P.S./ I.S. 155 Nicholas Herkimer,40.677415,-73.908734
P.S. 178 Saint Clair Mckelway,40.675024,-73.915778
P.S./I.S. 323,40.666545,-73.910904
Brownsville Collaborative Middle School,40.670986,-73.908194
I.S. 392,40.665965,-73.918107
Kappa V,40.656068,-73.907245
Mott Hall IV,40.677805,-73.915843
Eagle Academy for Young Men II,40.677805,-73.915843
Brooklyn Environmental Exploration School,40.680318,-73.910644
Riverdale Avenue Middle School,40.660204,-73.913933
Mott Hall Bridges Academy,40.666545,-73.910904
P.S. 049 Dorothy Bonawit Kole,40.719867,-73.875093
I.S. 061 Leonardo Da Vinci,40.742668,-73.863307
I.S. 73 - The Frank Sansivieri Intermediate School,40.729215,-73.893624
I.S. 077,40.699516,-73.90214
I.S. 237,40.749545,-73.822073
P.S./I.S. 087 Middle Village,40.711815,-73.871238
I.S. 093 Ridgewood,40.706041,-73.902584
P.S. 102 Bayview,40.733514,-73.877857
P.S./I.S. 113 Anthony J. Pranzo,40.705516,-73.862208
I.S. 025 Adrien Block,40.765133,-73.790083
I.S. 119 The Glendale,40.704406,-73.875183
I.S. 125 Thom J. McCann Woodside,40.741131,-73.918945
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",40.715344,-73.886215
Corona Arts & Sciences Academy,40.745709,-73.865329
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",40.742839,-73.936782
J.H.S. 185 Edward Bleeker,40.775253,-73.819347
J.H.S. 189 Daniel Carter Beard,40.759844,-73.820548
J.H.S. 194 William Carr,40.78365,-73.807838
P.S./M.S. 200 - The Magnet School of Global Studies and Leadership,40.731369,-73.805116
P.S. 219 Paul Klapper,40.735275,-73.823778
I.S. 250 The Robert F. Kennedy Community Middle School,40.724458,-73.810216
The Queens School of Inquiry,40.724458,-73.810216
East-West School of International Studies,40.749545,-73.822073
World Journalism Preparatory: A College Board School,40.765133,-73.790083
BELL Academy,40.782298,-73.779099
College Point Collaborative,40.785327,-73.843749
"The Queens College School for Math, Science and Technology",40.739246,-73.822057
J.H.S. 067 Louis Pasteur,40.762708,-73.733694
J.H.S. 074 Nathaniel Hawthorne,40.745201,-73.767446
P.S./I.S. 266,40.746231,-73.727614
M.S. 158 Marie Curie,40.756139,-73.772862
Irwin Altman Middle School 172,40.741944,-73.712965
P.S./ IS 178 Holliswood,40.724479,-73.777454
J.H.S. 216 George J. Ryan,40.737517,-73.794031
P.S./M.S 042 R. Vernam,40.594538,-73.795304
P.S. 043,40.593834,-73.76174
P.S. 047 Chris Galas,40.606353,-73.820445
M.S. 053 Brian Piccolo,40.603622,-73.749097
P.S. 105 The Bay School,40.595779,-73.781876
P.S./M.S. 114 Belle Harbor,40.578261,-73.854403
P.S. 207 Rockwood Park,40.658089,-73.844432
P.S. 124 Osmond A Church,40.665058,-73.811701
M.S. 137 America's School of Heroes,40.6781,-73.839948
P.S. 146 Howard Beach,40.659873,-73.835068
P.S. 183 Dr. Richard R. Green,40.589508,-73.805361
J.H.S. 202 Robert H. Goddard,40.67124,-73.845141
J.H.S. 210 Elizabeth Blackwell,40.683858,-73.84747
J.H.S. 226 Virgil I. Grissom,40.675771,-73.816938
P.S. 232 Lindenwood,40.665909,-73.851216
Channel View School for Research,40.586066,-73.822624
Knowledge and Power Preparatory Academy VI,40.60201,-73.762795
Academy of Medical Technology: A College Board School,40.60201,-73.762795
Waterside School For Leadership,40.580928,-73.831836
Village Academy,40.603622,-73.749097
Scholars' Academy,40.584109,-73.825711
Goldie Maple Academy,40.593967,-73.786182
J.H.S. 008 Richard S. Grossley,40.69719,-73.787192
Catherine & Count Basie Middle School 72,40.673769,-73.775951
J.H.S. 157 Stephen A. Halsey,40.732289,-73.853825
Metropolitan Expeditionary Learning School,40.711367,-73.856698
Queens Collegiate: A College Board School,40.713218,-73.797237
J.H.S. 190 Russell Sage,40.722707,-73.851699
J.H.S. 217 Robert A. Van Wyck,40.710024,-73.812508
York Early College Academy,40.69719,-73.787192
The Emerson School,40.69719,-73.787192
Redwood Middle School,40.673769,-73.775951
M.S. 358,40.70869,-73.79798
Queens Gateway to Health Sciences Secondary School,40.718831,-73.806499
"Young Women's Leadership School, Queens",40.707527,-73.806412
I.S. 059 Springfield Gardens,40.68173,-73.753429
Jean Nuzzi Intermediate School,40.720713,-73.747001
P.S./I.S. 116 William C. Hughley,40.700606,-73.782302
P.S./M.S. 138 Sunrise,40.659728,-73.735176
P.S./M.S. 147 Ronald McNair,40.697309,-73.740948
I.S. 192 The Linden,40.70646,-73.753579
P.S./I.S. 208,40.745948,-73.727456
I.S. 238 - Susan B. Anthony Academy,40.713094,-73.780468
Pathways College Preparatory School: A College Board School,40.70646,-73.753579
P.S. 111 Jacob Blackwell,40.758831,-73.93938
P.S./I.S. 268,40.707537,-73.785626
The Gordon Parks School,40.674831,-73.736713
Preparatory Academy for Writers: A College Board School,40.668235,-73.756839
Queens United Middle School,40.673069,-73.743173
P.S./I.S. 295,40.720619,-73.731997
Eagle Academy for Young Men III,40.691712,-73.778923
Collaborative Arts Middle School,40.664608,-73.758784
Community Voices Middle School,40.664608,-73.758784
